Class: 2, Confidence: 0.98, Box: (154, 169, 24, 25), Color: Red
Class: 2, Confidence: 0.98, Box: (154, 169, 24, 25), Color: Red
Class: 2, Confidence: 0.97, Box: (143, 165, 27, 24), Color: Red
Class: 5, Confidence: 0.95, Box: (257, 175, 24, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (133, 166, 26, 26), Color: Red
Class: 5, Confidence: 0.97, Box: (250, 177, 23, 24), Color: Green
Class: 4, Confidence: 0.88, Box: (367, 187, 25, 20), Color: Green
Class: 2, Confidence: 0.97, Box: (133, 177, 25, 26), Color: Red
Class: 4, Confidence: 0.93, Box: (369, 182, 24, 27), Color: Green
Class: 5, Confidence: 0.92, Box: (249, 182, 23, 24), Color: Green
Class: 2, Confidence: 0.97, Box: (133, 178, 26, 26), Color: Red
Class: 4, Confidence: 0.91, Box: (368, 186, 25, 20), Color: Green
Class: 5, Confidence: 0.85, Box: (251, 181, 24, 25), Color: Green
Class: 2, Confidence: 0.98, Box: (129, 177, 25, 24), Color: Red
Class: 5, Confidence: 0.97, Box: (248, 180, 22, 24), Color: Green
Class: 4, Confidence: 0.93, Box: (369, 179, 24, 27), Color: Green
Class: 2, Confidence: 0.98, Box: (129, 174, 26, 24), Color: Red
Class: 5, Confidence: 0.97, Box: (248, 177, 22, 24), Color: Green
Class: 4, Confidence: 0.90, Box: (370, 176, 23, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (129, 173, 26, 24), Color: Red
Class: 5, Confidence: 0.98, Box: (248, 174, 22, 25), Color: Green
Class: 4, Confidence: 0.94, Box: (371, 174, 24, 28), Color: Green
Class: 5, Confidence: 0.99, Box: (245, 171, 23, 24), Color: Green
Class: 2, Confidence: 0.99, Box: (122, 169, 27, 24), Color: Red
Class: 4, Confidence: 0.97, Box: (369, 169, 24, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (123, 167, 26, 24), Color: Red
Class: 5, Confidence: 0.98, Box: (246, 167, 22, 26), Color: Green
Class: 4, Confidence: 0.81, Box: (371, 165, 24, 29), Color: Green
Class: 5, Confidence: 0.97, Box: (245, 162, 23, 25), Color: Green
Class: 2, Confidence: 0.94, Box: (122, 162, 26, 25), Color: Red
Class: 4, Confidence: 0.83, Box: (372, 160, 24, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (119, 164, 27, 25), Color: Red
Class: 5, Confidence: 0.94, Box: (244, 163, 24, 25), Color: Green
Class: 4, Confidence: 0.88, Box: (370, 160, 24, 28), Color: Green
Class: 2, Confidence: 0.99, Box: (118, 165, 27, 25), Color: Red
Class: 5, Confidence: 0.97, Box: (242, 164, 23, 25), Color: Green
Class: 4, Confidence: 0.91, Box: (368, 161, 25, 28), Color: Green
Class: 2, Confidence: 0.99, Box: (118, 167, 27, 25), Color: Red
Class: 5, Confidence: 0.97, Box: (242, 164, 23, 25), Color: Green
Class: 4, Confidence: 0.96, Box: (368, 159, 25, 28), Color: Green
Class: 2, Confidence: 0.99, Box: (111, 166, 27, 24), Color: Red
Class: 5, Confidence: 0.97, Box: (238, 162, 23, 25), Color: Green
Class: 4, Confidence: 0.96, Box: (367, 158, 24, 27), Color: Green
Class: 2, Confidence: 0.99, Box: (113, 165, 28, 25), Color: Red
Class: 5, Confidence: 0.97, Box: (239, 163, 23, 25), Color: Green
Class: 4, Confidence: 0.97, Box: (367, 159, 24, 28), Color: Green
Class: 5, Confidence: 0.99, Box: (244, 167, 23, 26), Color: Green
Class: 2, Confidence: 0.99, Box: (120, 171, 28, 23), Color: Red
Class: 4, Confidence: 0.86, Box: (371, 162, 25, 29), Color: Green
Class: 5, Confidence: 0.99, Box: (247, 169, 21, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (123, 171, 26, 25), Color: Red
Class: 4, Confidence: 0.96, Box: (374, 163, 26, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (247, 168, 22, 26), Color: Green
Class: 2, Confidence: 0.96, Box: (124, 172, 25, 24), Color: Red
Class: 4, Confidence: 0.95, Box: (374, 163, 26, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (122, 171, 27, 23), Color: Red
Class: 5, Confidence: 0.96, Box: (247, 167, 22, 26), Color: Green
Class: 4, Confidence: 0.86, Box: (373, 162, 26, 28), Color: Green
Class: 2, Confidence: 0.99, Box: (121, 169, 27, 24), Color: Red
Class: 5, Confidence: 0.96, Box: (244, 165, 23, 25), Color: Green
Class: 4, Confidence: 0.87, Box: (371, 160, 24, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (124, 170, 25, 23), Color: Red
Class: 5, Confidence: 0.98, Box: (247, 166, 22, 25), Color: Green
Class: 4, Confidence: 0.87, Box: (373, 161, 25, 27), Color: Green
Class: 5, Confidence: 0.98, Box: (248, 166, 22, 25), Color: Green
Class: 2, Confidence: 0.97, Box: (124, 169, 25, 24), Color: Red
Class: 4, Confidence: 0.89, Box: (373, 160, 25, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (247, 165, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (124, 168, 25, 24), Color: Red
Class: 4, Confidence: 0.90, Box: (373, 160, 25, 28), Color: Green
Class: 2, Confidence: 0.98, Box: (122, 170, 27, 23), Color: Red
Class: 5, Confidence: 0.96, Box: (246, 167, 22, 26), Color: Green
Class: 5, Confidence: 0.98, Box: (242, 160, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (116, 163, 27, 24), Color: Red
Class: 4, Confidence: 0.98, Box: (367, 156, 25, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (242, 160, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (116, 163, 27, 24), Color: Red
Class: 4, Confidence: 0.98, Box: (367, 156, 25, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (242, 160, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (116, 163, 27, 24), Color: Red
Class: 4, Confidence: 0.98, Box: (367, 156, 25, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (242, 160, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (116, 163, 27, 24), Color: Red
Class: 4, Confidence: 0.98, Box: (367, 156, 25, 28), Color: Green
Class: 5, Confidence: 0.98, Box: (242, 160, 22, 26), Color: Green
Class: 2, Confidence: 0.98, Box: (116, 163, 27, 24), Color: Red
Class: 4, Confidence: 0.98, Box: (367, 156, 25, 28), Color: Green
Class: 7, Confidence: 0.97, Box: (270, 195, 25, 25), Color: Green
Class: 7, Confidence: 0.98, Box: (265, 197, 25, 25), Color: Green
Class: 7, Confidence: 0.98, Box: (263, 203, 24, 25), Color: Green
